# Points			Z (nm)			
0.000			-0.000
1.000			1.137
2.000			1.586
3.000			0.986
4.000			1.759
5.000			2.710
6.000			3.075
7.000			3.880
8.000			5.319
9.000			5.982
10.000			6.268
11.000			6.903
12.000			6.379
13.000			6.198
14.000			6.969
15.000			8.016
16.000			8.658
17.000			9.011
18.000			9.819
19.000			10.152
20.000			9.897
21.000			10.548
22.000			11.355
23.000			11.275
24.000			11.767
25.000			12.377
26.000			13.556
27.000			10.874
28.000			1.795
29.000			-29.349
30.000			-117.548
31.000			-349.583
32.000			-513.426
33.000			-646.477
34.000			-722.999
35.000			-736.507
36.000			-736.671
37.000			-736.204
38.000			-735.859
39.000			-735.838
40.000			-736.024
41.000			-735.669
42.000			-734.894
43.000			-734.242
44.000			-733.545
45.000			-733.062
46.000			-732.605
47.000			-732.179
48.000			-732.110
49.000			-732.473
50.000			-732.540
51.000			-731.958
52.000			-731.420
53.000			-731.253
54.000			-731.087
55.000			-730.931
56.000			-730.861
57.000			-730.566
58.000			-730.103
59.000			-729.698
60.000			-729.169
61.000			-728.406
62.000			-727.939
63.000			-727.756
64.000			-727.551
65.000			-727.510
66.000			-727.465
67.000			-726.991
68.000			-726.470
69.000			-726.412
70.000			-726.117
71.000			-725.429
72.000			-725.086
73.000			-724.769
74.000			-724.051
75.000			-723.605
76.000			-723.620
77.000			-723.572
78.000			-723.437
79.000			-723.277
80.000			-722.837
81.000			-722.411
82.000			-722.229
83.000			-722.001
84.000			-721.703
85.000			-721.537
86.000			-721.145
87.000			-720.397
88.000			-720.059
89.000			-719.883
90.000			-719.345
91.000			-719.131
92.000			-719.547
93.000			-719.935
94.000			-720.225
95.000			-720.357
96.000			-720.036
97.000			-719.384
98.000			-718.659
99.000			-718.151
100.000			-717.217
101.000			-704.632
102.000			-642.068
103.000			-460.855
104.000			-189.958
105.000			-48.817
106.000			35.173
107.000			83.633
108.000			97.391
109.000			103.059
110.000			105.832
111.000			106.435
112.000			107.035
113.000			109.770
114.000			110.733
115.000			112.858
116.000			116.282
117.000			116.942
118.000			116.660
119.000			118.709
120.000			120.131
121.000			120.611
122.000			123.450
123.000			126.406
124.000			126.906
125.000			127.983
126.000			129.536
127.000			129.028
128.000			128.538
129.000			130.057
130.000			131.176
131.000			134.310
132.000			137.046
133.000			138.870
134.000			139.015
135.000			138.977
136.000			140.191
137.000			140.937
138.000			141.480
139.000			145.247
140.000			146.201
141.000			145.983
142.000			148.905
143.000			151.815
144.000			151.366
145.000			151.687
146.000			152.984
147.000			153.777
148.000			155.013
149.000			157.705
150.000			159.018
151.000			159.662
152.000			161.580
153.000			161.289
154.000			160.203
155.000			162.590
156.000			164.524
157.000			165.599
158.000			168.195
159.000			169.827
160.000			170.481
161.000			170.849
162.000			170.293
163.000			170.724
164.000			171.721
165.000			173.194
166.000			176.024
167.000			177.130
168.000			177.696
169.000			178.362
170.000			177.209
171.000			177.188
172.000			178.311
173.000			180.359
174.000			181.410
175.000			182.736
