# Points			Z (nm)			
0.000			-0.000
1.000			0.775
2.000			1.275
3.000			2.485
4.000			4.098
5.000			5.117
6.000			6.603
7.000			7.549
8.000			6.744
9.000			6.170
10.000			6.187
11.000			5.971
12.000			7.010
13.000			9.005
14.000			10.349
15.000			11.346
16.000			12.811
17.000			13.449
18.000			12.049
19.000			11.513
20.000			11.726
21.000			12.129
22.000			14.172
23.000			15.819
24.000			17.211
25.000			18.034
26.000			17.406
27.000			16.560
28.000			16.879
29.000			17.511
30.000			18.657
31.000			19.829
32.000			20.354
33.000			21.716
34.000			22.624
35.000			22.464
36.000			22.715
37.000			22.818
38.000			21.996
39.000			22.810
40.000			25.754
41.000			26.167
42.000			26.145
43.000			27.464
44.000			27.594
45.000			27.349
46.000			28.153
47.000			28.503
48.000			28.927
49.000			30.529
50.000			31.857
51.000			32.287
52.000			32.386
53.000			32.203
54.000			31.103
55.000			31.954
56.000			33.647
57.000			34.796
58.000			36.236
59.000			37.570
60.000			37.393
61.000			37.341
62.000			37.408
63.000			36.994
64.000			38.375
65.000			39.509
66.000			39.587
67.000			40.915
68.000			42.160
69.000			42.219
70.000			41.584
71.000			41.394
72.000			42.503
73.000			43.851
74.000			43.679
75.000			43.435
76.000			44.255
77.000			44.197
78.000			44.255
79.000			40.494
80.000			29.761
81.000			-19.630
82.000			-167.284
83.000			-348.971
84.000			-501.207
85.000			-618.443
86.000			-664.370
87.000			-666.711
88.000			-667.028
89.000			-666.500
90.000			-667.061
91.000			-667.121
92.000			-666.521
93.000			-665.286
94.000			-664.060
95.000			-662.684
96.000			-661.801
97.000			-661.777
98.000			-661.634
99.000			-661.411
100.000			-661.392
101.000			-661.142
102.000			-660.827
103.000			-660.713
104.000			-660.443
105.000			-660.047
106.000			-660.127
107.000			-660.489
108.000			-660.830
109.000			-660.916
110.000			-660.725
111.000			-660.240
112.000			-659.414
113.000			-658.499
114.000			-657.385
115.000			-645.368
116.000			-583.089
117.000			-446.147
118.000			-261.404
119.000			-76.968
120.000			13.679
121.000			61.872
122.000			71.770
123.000			73.271
124.000			73.164
125.000			72.956
126.000			73.192
127.000			73.779
128.000			75.595
129.000			76.955
130.000			79.520
131.000			81.069
132.000			80.751
133.000			79.497
134.000			79.291
135.000			79.234
136.000			79.873
137.000			81.813
138.000			83.075
139.000			85.123
140.000			86.496
141.000			86.183
142.000			85.379
143.000			84.583
144.000			84.054
145.000			84.727
146.000			87.148
147.000			88.962
148.000			89.684
149.000			90.183
150.000			89.786
151.000			89.342
152.000			88.351
153.000			88.531
154.000			87.936
155.000			82.442
156.000			61.613
157.000			-20.701
158.000			-189.856
159.000			-364.513
160.000			-520.242
161.000			-620.635
162.000			-643.898
163.000			-644.445
164.000			-643.779
165.000			-642.927
166.000			-642.493
167.000			-641.755
168.000			-641.531
169.000			-641.542
170.000			-641.528
171.000			-641.206
172.000			-640.970
173.000			-640.213
174.000			-639.257
175.000			-639.090
