attenuator_db,x,eta,eta_std_A,eta_std_B,eta_std_total
38,493.1,0.0032679704890046686,0.00022387335691180692,8.585226204388848e-05,0.0002397704961687609
35,901.7,0.0033172419405256438,0.00013826058875756052,8.714666344117585e-05,0.0001634335686219843
32,1665.7,0.003236336184128747,9.072605128115329e-05,8.502120293826875e-05,0.00012433752985378444
29,3151.1,0.0031555437108137154,6.328459581524073e-05,8.289871847472988e-05,0.00010429351653986409
26,5950.2,0.003029850517478474,3.797918851408444e-05,7.95966553111678e-05,8.819323271608326e-05
23,11022.1,0.0028338092623833794,2.4174513618486422e-05,7.444649093224681e-05,7.827315708987017e-05
